date,symbol,series,prev close,open,high,low,last,close,vwap,volume,text_doc_index,text_sent_index,text_neg,text_neu,text_pos,text_compound,twitter_text_doc_index,twitter_text_sent_index,twitter_text_neg,twitter_text_neu,twitter_text_pos,twitter_text_compound,close_14_ema_x,close_14_ema_y,Text_Dominant_Topic,Text_Perc_Contribution,TWT_Dominant_Topic,TWT_Perc_Contribution
27/09/18,SBIN,EQ,263.85,264.5,268.6,263.75,265.5,265.35,266.3,24829383,151,0,0,1,0,0,388,1,0,1.876,0.124,0.872,277.0678147,277.0678147,3,0.4525,0,0.8303
28/09/18,SBIN,EQ,265.35,266.4,273.5,262.5,265.5,265.5,268.19,33803139,0,0,0,0,0,0,389,6,0.062,3.362,0.576,1.6582,275.5254394,275.5254394,0,0,4,0.3609
01/10/18,SBIN,EQ,265.5,265.5,275.2,264.1,274.1,273.85,268.85,17711738,152,0,0,0.853,0.147,0.4767,390,36,1.145,5.811,2.044,2.9265,275.3020475,275.3020475,4,0.5623,0,0.4083
03/10/18,SBIN,EQ,273.85,273.35,278.7,270.6,271.5,271.7,274.04,19714943,0,0,0,0,0,0,391,3,0,2.691,0.309,1.3264,274.8217745,274.8217745,0,0,2,0.416
04/10/18,SBIN,EQ,271.7,267.95,272.7,265.7,269.4,271.35,269.48,17754204,0,0,0,0,0,0,392,78,3.222,9.778,0,-5.9653,274.3588712,274.3588712,0,0,2,0.8293
05/10/18,SBIN,EQ,271.35,271,271,256,258.3,258.35,264.55,36628643,0,0,0,0,0,0,393,0,0.016,0.864,0.12,0.9198,272.2243551,272.2243551,0,0,2,0.5767
08/10/18,SBIN,EQ,258.35,259.75,268.5,258.35,266,265.75,262.3,21100804,0,0,0,0,0,0,394,3,0.317,2.352,0.33,0.5649,271.3611077,271.3611077,0,0,4,0.7251
09/10/18,SBIN,EQ,265.75,268,268.15,260,262.75,262.95,263.56,16010883,0,0,0,0,0,0,395,1,0.097,1.682,0.221,0.3658,270.2396267,270.2396267,0,0,4,0.8387
10/10/18,SBIN,EQ,262.95,261.6,280.45,261.2,277.3,278.65,271.41,31772330,153,0,0,0.769,0.231,0.3818,396,10,0.123,4.615,0.262,1.2084,271.3610098,271.3610098,4,0.413,4,0.5688
11/10/18,SBIN,EQ,278.65,268,271.5,260.6,261.7,262.15,263.79,46291120,0,0,0,0,0,0,397,1,0.199,1.338,0.463,1.3034,270.1328752,270.1328752,0,0,2,0.7195
12/10/18,SBIN,EQ,262.15,266,267.9,261.5,263.7,263.75,265.06,42967696,154,0,0,0.838,0.162,0.6597,398,0,0.103,0.79,0.108,0.1154,269.2818251,269.2818251,4,0.663,4,0.5423
15/10/18,SBIN,EQ,263.75,264.4,265.7,261.1,263.15,263.2,262.91,21965859,0,0,0,0,0,0,399,10,0.284,3.96,0.755,1.6482,268.4709151,268.4709151,0,0,4,0.5396
16/10/18,SBIN,EQ,263.2,264.6,270.85,263.35,270.35,270.3,267.89,33597068,0,0,0,0,0,0,400,6,0.126,3.466,0.409,1.6383,268.7147931,268.7147931,0,0,2,0.5389
17/10/18,SBIN,EQ,270.3,273.75,275,260,261,261.15,266.57,21631573,0,0,0,0,0,0,401,1,0.146,1.602,0.251,0.309,267.706154,267.706154,0,0,4,0.8623
19/10/18,SBIN,EQ,261.15,259.7,264.2,258.1,261.15,261.1,260.66,28474307,0,0,0,0,0,0,402,0,0,1,0,0,266.8253335,266.8253335,0,0,4,0.7758
22/10/18,SBIN,EQ,261.1,266,266,259.45,260,260.35,263.03,19933462,0,0,0,0,0,0,403,0,0.009,0.908,0.082,0.8957,265.9619557,265.9619557,0,0,4,0.5428
23/10/18,SBIN,EQ,260.35,258,259,255,255.9,255.65,256.83,20206307,155,0,0,1,0,0,404,28,0.017,6.895,1.088,3.0173,264.5870283,264.5870283,3,0.5125,4,0.6047
24/10/18,SBIN,EQ,255.65,260.25,261.8,252.8,255.9,255.7,257.4,25636533,0,0,0,0,0,0,405,0,0,0.834,0.166,0.9062,263.4020912,263.4020912,0,0,2,0.6684
25/10/18,SBIN,EQ,255.7,254.5,255,248.4,250.65,249.55,250.37,33066232,0,0,0,0,0,0,406,0,0.035,0.896,0.069,0.296,261.5551457,261.5551457,0,0,2,0.6159
26/10/18,SBIN,EQ,249.55,252,252.5,247.4,247.9,248.1,250.07,20543437,0,0,0,0,0,0,407,0,0.017,0.854,0.129,0.9531,259.7611263,259.7611263,0,0,0,0.9546
29/10/18,SBIN,EQ,248.1,250,269.25,248.4,267.5,267.9,262.11,37768359,0,0,0,0,0,0,408,21,0.545,5.655,0.802,1.3898,260.8463094,260.8463094,0,0,0,0.4337
30/10/18,SBIN,EQ,267.9,267.5,279.1,266,273.9,273.15,274.64,33401683,0,0,0,0,0,0,409,3,0.046,2.799,0.155,0.3247,262.4868015,262.4868015,0,0,4,0.787
31/10/18,SBIN,EQ,273.15,275,282.75,268.6,280.75,281.4,275.87,28137370,156,0,0,0.965,0.035,0.0258,410,1,0.031,1.863,0.106,0.7501,265.0085613,265.0085613,4,0.6925,4,0.4447
01/11/18,SBIN,EQ,281.4,283,289,278.85,285.65,285.9,285.01,29144808,0,0,0,0,0,0,411,36,1.624,6.946,0.43,-0.721,267.7940865,267.7940865,0,0,2,0.7779
02/11/18,SBIN,EQ,285.9,287.9,292.8,283.2,285.55,285.35,288.62,27760214,0,0,0,0,0,0,412,6,0.227,3.472,0.301,0.3196,270.1348749,270.1348749,0,0,2,0.6463
